n: 1000
m: 5
0.577927
0.570059
0.560045
0.560999
0.569105
0.597
0.550985
0.551224
0.648975
0.553131
m: 10
0.298023
1.08004
0.176191
0.174999
0.174999
0.174999
0.174046
0.173807
0.174046
0.174999
m: 20
0.095129
0.0948906
0.0939369
0.095129
0.095129
0.0939369
0.0948906
0.0939369
0.0948906
0.0948906
m: 50
0.054121
0.054121
0.0538826
0.0538826
0.0550747
0.0538826
0.0548363
0.0550747
0.054121
0.0538826
m: 100
0.0340939
0.0340939
0.0350475
0.0350475
0.0348091
0.0340939
0.0340939
0.0350475
0.0340939
0.0338554
m: 250
0.0450611
0.0190735
0.0269413
0.0188351
0.0178814
0.0188351
0.0178814
0.0181198
0.0181198
0.0181198
m: 500
0.015974
0.015974
0.015974
0.015974
0.015974
0.015974
0.015974
0.015974
0.0169277
0.0169277
m: 1000
0.0150204
0.0140667
0.0150204
0.0138283
0.0140667
0.0150204
0.0150204
0.0140667
0.014782
0.0150204
n: 2000
m: 5
0.739813
0.730038
1.90496
0.730991
0.729084
0.729084
0.769138
0.732899
0.73123
1.21093
m: 10
0.487089
0.57292
0.380993
0.381947
0.380993
0.385046
0.383139
0.383139
0.381947
0.383139
m: 20
0.205994
0.208139
0.206947
0.206947
0.205994
0.206947
0.206947
0.206947
0.205994
0.205994
m: 50
0.117064
0.117064
0.116825
0.117064
0.116825
0.118017
0.116825
0.117064
0.116825
0.11611
m: 100
0.0720024
0.0720024
0.0729561
0.0720024
0.0729561
0.0731945
0.0731945
0.0731945
0.0720024
0.102997
m: 250
0.0391006
0.0391006
0.038147
0.0388622
0.0379086
0.0379086
0.038147
0.0391006
0.0379086
0.0379086
m: 500
0.0319481
0.0331402
0.0321865
0.0331402
0.0331402
0.0329018
0.0329018
0.0319481
0.0329018
0.0319481
m: 1000
0.0300407
0.0288486
0.0290871
0.0300407
0.0300407
0.0300407
0.0288486
0.0300407
0.0288486
0.0300407
n: 4000
m: 5
2.50101
2.45404
2.57492
2.57206
2.48504
2.46692
2.4569
2.46692
2.54798
2.54488
m: 10
1.29509
1.26004
1.26004
1.27196
1.25599
1.24502
1.26696
1.24216
1.24311
1.24311
m: 20
0.659943
0.70405
0.653982
0.653028
0.74482
0.65279
0.663042
0.654936
0.653028
0.652075
m: 50
0.355005
0.355005
0.354767
0.372171
0.355005
0.355005
0.355005
0.355005
0.354052
0.355005
m: 100
0.205994
0.205994
0.205994
0.206947
0.206947
0.206232
0.205994
0.2141
0.205994
0.205994
m: 250
0.0910759
0.0910759
0.0910759
0.0920296
0.0920296
0.0920296
0.0910759
0.0920296
0.0910759
0.0910759
m: 500
0.0720024
0.0729561
0.0720024
0.0729561
0.0720024
0.0729561
0.0731945
0.0720024
0.0720024
0.0729561
m: 1000
0.0619888
0.0629425
0.068903
0.0629425
0.0629425
0.0629425
0.0629425
0.0629425
0.0629425
0.0629425
n: 8000
m: 5
5.22494
4.97508
4.99606
5.08499
4.96697
4.98104
5.01013
5.06997
4.96507
4.96006
m: 10
2.61188
2.62094
2.56205
2.56205
2.54798
2.57206
2.61211
2.61593
2.58708
2.58183
m: 20
1.34516
1.34778
1.65606
1.39594
1.35994
1.36518
1.50394
1.37186
1.38903
1.35112
m: 50
0.724792
0.725985
0.735044
0.777006
0.725985
0.726938
0.725985
0.734806
0.733137
0.725985
m: 100
0.41604
0.415087
0.412941
0.413895
0.414848
0.447035
0.414133
0.414133
0.472069
0.415087
m: 250
0.184059
0.184059
0.185013
0.184059
0.187874
0.261068
0.185013
0.183821
0.184059
0.195026
m: 500
0.145912
0.144958
0.144958
0.144958
0.144958
0.146151
0.144958
0.145912
0.146151
0.146151
m: 1000
0.126123
0.125885
0.125885
0.124931
0.125885
0.126123
0.126123
0.135183
0.12517
0.124931
n: 16000
m: 5
22.121
22.0931
22.2199
22.157
22.1469
22.1488
22.0239
22.0609
22.1579
22.0261
m: 10
11.3308
11.2059
11.2391
11.2841
11.302
11.2672
11.4422
11.337
11.184
11.3871
m: 20
5.73802
5.87797
5.75113
5.71108
5.83696
5.71704
5.70893
5.85818
5.72205
5.73087
m: 50
3.07703
2.98095
3.05414
3.20315
3.11089
3.11804
3.03006
2.98095
2.9788
2.96497
m: 100
1.616
1.67084
1.60289
1.66106
1.58095
1.59001
1.5862
1.65892
1.60098
1.57905
m: 250
0.556946
0.544071
0.543833
0.544071
0.552177
0.543833
0.595093
0.551939
0.633955
0.551939
m: 500
0.381947
0.3829
0.381947
0.379086
0.378132
0.377893
0.408888
0.378847
0.379086
0.378132
m: 1000
0.291109
0.290155
0.291109
0.289917
0.290871
0.291109
0.291109
0.290871
0.299931
0.291109
n: 32000
m: 5
119.54
119.479
118.068
120.162
119.491
119.12
119.14
120.136
124.447
123.912
m: 10
61.6338
61.661
62.125
61.6498
60.0841
60.2782
60.823
67.214
61.749
62.2258
m: 20
30.494
31.1859
30.9119
30.6749
30.57
30.2842
30.0519
29.8111
30.1111
29.9642
m: 50
15.0781
15.0199
15.9662
15.198
15.053
15.017
15.141
15.161
15.0149
14.997
m: 100
7.84087
7.75099
7.75409
7.80988
7.72405
7.81322
7.74288
7.78604
7.7951
7.83396
m: 250
2.27404
2.29192
2.31791
2.29001
2.316
2.37989
2.29192
2.29979
2.28596
2.32196
m: 500
1.33801
1.35803
1.33991
1.41096
1.36518
1.33896
1.3392
1.3721
1.33896
1.3411
m: 1000
0.892878
0.88191
0.880957
0.878096
0.895977
0.878811
0.878096
0.880957
0.880957
0.967026
n: 64000
m: 5
642.043
913.038
709.15
667.769
650.307
653.243
649.695
652.032
652.962
646.794
m: 10
322.703
320.209
321.301
324.585
322.723
359.912
334.823
322.995
320.456
320.492
m: 20
160.953
160.362
162.199
167.356
166.522
166.663
166.754
167.424
166.361
169.354
m: 50
85.3109
84.4591
91.0769
84.7652
84.846
84.3339
84.25
84.9221
84.372
84.1098
m: 100
42.3651
42.7222
42.424
46.298
43.7779
45.9778
54.6041
44.3778
42.98
43.417
m: 250
11.3699
11.2109
11.009
11.4379
12.0301
11.9209
11.646
11.729
11.245
12.578
m: 500
10.7431
9.15909
6.39796
8.15916
7.90286
6.36101
6.1419
5.96189
6.45494
6.57392
m: 1000
3.40104
3.40486
3.38507
3.38507
3.50118
3.44396
3.6509
3.37505
3.34096
3.38697
